          ----- ----- -------  -----  ----- | ---- ----- --------- --------- --------- |
  219.375     4     4     4.0     60  10424 |   15  3376    0.2639    0.0176    0.0044 |
  220.350     4     4     4.0     60  10484 |   15  3391    0.2636    0.0176    0.0044 |
  221.325     4     4     4.0     60  10544 |   15  3406    0.2632    0.0175    0.0044 |
  222.300     4     4     4.0     60  10604 |   15  3421    0.2625    0.0175    0.0044 |
  223.275     4     4     4.0     60  10664 |   15  3436    0.2628    0.0175    0.0044 |
  224.250     4     4     4.0     60  10724 |   15  3451    0.2638    0.0176    0.0044 |
  225.225     4     4     4.0     60  10784 |   15  3466    0.2633    0.0176    0.0044 |
  226.200     4     4     4.0     60  10844 |   15  3481    0.2625    0.0175    0.0044 |
  227.175     4     4     4.0     60  10904 |   15  3496    0.2622    0.0175    0.0044 |
  228.150     4     4     4.0     60  10964 |   15  3511    0.2633    0.0176    0.0044 |
  229.125     4     4     4.0     60  11024 |   15  3526    0.2623    0.0175    0.0044 |
  230.100     4     4     4.0     60  11084 |   15  3541    0.2640    0.0176    0.0044 |
  231.075     4     4     4.0     60  11144 |   15  3556    0.2665    0.0178    0.0044 |
  232.050     4     4     4.0     60  11204 |   15  3571    0.2648    0.0177    0.0044 |
  233.025     4     4     4.0     60  11264 |   15  3586    0.2673    0.0178    0.0045 |
  234.000     4     4     4.0     60  11324 |   15  3601    0.2652    0.0177    0.0044 |
  234.975     4     4     4.0     60  11384 |   15  3616    0.2700    0.0180    0.0045 |
  235.950     4     4     4.0     60  11444 |   15  3631    0.2736    0.0182    0.0046 |
  236.925     4     4     4.0     60  11504 |   15  3646    0.2714    0.0181    0.0045 |
  237.900     4     4     4.0     60  11564 |   15  3661    0.2671    0.0178    0.0045 |
  238.875     4     4     4.0     60  11624 |   15  3676    0.2650    0.0177    0.0044 |
  239.850     4     4     4.0     60  11684 |   15  3691    0.2685    0.0179    0.0045 |
  240.825     4     4     4.0     60  11744 |   15  3706    0.2632    0.0175    0.0044 |
  241.800     4     4     4.0     60  11804 |   15  3721    0.2635    0.0176    0.0044 |
  242.775     4     4     4.0     60  11864 |   15  3736    0.2622    0.0175    0.0044 |
  243.750     4     4     4.0     60  11924 |   15  3751    0.2625    0.0175    0.0044 |
  244.725     4     4     4.0     60  11984 |   15  3766    0.2630    0.0175    0.0044 |
  245.700     4     4     4.0     60  12044 |   15  3781    0.2627    0.0175    0.0044 |
  246.675     4     4     4.0     60  12104 |   15  3796    0.2634    0.0176    0.0044 |
  247.650     4     4     4.0     60  12164 |   15  3811    0.2648    0.0177    0.0044 |
  248.625     3     4     3.5     52  12216 |   15  3826    0.2361    0.0157    0.0045 |
  249.600     3     3     3.0     45  12261 |   15  3841    0.2134    0.0142    0.0047 |
  250.575     3     3     3.0     45  12306 |   15  3856    0.2135    0.0142    0.0047 |
