          ----- ----- | --------- --------- |
            cls ttcls |      time  tot time |
  513.825    15  7906 |    0.0159    8.8996 |
  514.800    15  7921 |    0.0160    8.9156 |
  515.775    15  7936 |    0.0161    8.9317 |
  516.750    15  7951 |    0.0159    8.9476 |
  517.725    15  7966 |    0.0159    8.9635 |
  518.700    15  7981 |    0.0160    8.9795 |
  519.675    15  7996 |    0.0160    8.9955 |
  520.650    15  8011 |    0.0159    9.0114 |
  521.625    15  8026 |    0.0159    9.0274 |
  522.600    15  8041 |    0.0162    9.0435 |
  523.575    15  8056 |    0.0162    9.0597 |
  524.550    15  8071 |    0.0160    9.0757 |
  525.525    15  8086 |    0.0161    9.0918 |
  526.500    15  8101 |    0.0159    9.1078 |
  527.475    15  8116 |    0.0160    9.1237 |
  528.450    15  8131 |    0.0160    9.1397 |
  529.425    15  8146 |    0.0159    9.1556 |
  530.400    15  8161 |    0.0160    9.1716 |
  531.375    15  8176 |    0.0160    9.1876 |
  532.350    15  8191 |    0.0160    9.2036 |
  533.325    15  8206 |    0.0159    9.2195 |
  534.300    15  8221 |    0.0160    9.2355 |
  535.275    15  8236 |    0.0159    9.2514 |
  536.250    15  8251 |    0.0159    9.2673 |
  537.225    15  8266 |    0.0159    9.2832 |
  538.200    15  8281 |    0.0159    9.2991 |
  539.175    15  8296 |    0.0159    9.3150 |
  540.150    15  8311 |    0.0159    9.3309 |
  541.125    15  8326 |    0.0159    9.3467 |
  542.100    15  8341 |    0.0159    9.3626 |
  543.075    15  8356 |    0.0161    9.3788 |
  544.050    15  8371 |    0.0159    9.3946 |
  545.025    15  8386 |    0.0159    9.4105 |
  546.000    15  8401 |    0.0160    9.4265 |
  546.975    15  8416 |    0.0159    9.4424 |
  547.950    15  8431 |    0.0159    9.4583 |
  548.925    15  8446 |    0.0159    9.4742 |
  549.900    15  8461 |    0.0159    9.4901 |
  550.875    15  8476 |    0.0160    9.5061 |
  551.850    15  8491 |    0.0159    9.5220 |
  552.825    15  8506 |    0.0160    9.5380 |
  553.800    15  8521 |    0.0160    9.5540 |
  554.775    15  8536 |    0.0159    9.5699 |
  555.750    15  8551 |    0.0159    9.5858 |
  556.725    15  8566 |    0.0159    9.6017 |
  557.700    15  8581 |    0.0159    9.6177 |
  558.675    15  8596 |    0.0159    9.6336 |
  559.650    15  8611 |    0.0159    9.6495 |
  560.625    15  8626 |    0.0159    9.6653 |
  561.600    15  8641 |    0.0159    9.6812 |
  562.575    15  8656 |    0.0159    9.6971 |
  563.550    15  8671 |    0.0161    9.7132 |
