          ----- ----- | --------- --------- |
            cls ttcls |      time  tot time |
  438.750    15  6751 |    0.0215   11.5959 |
  439.725    15  6766 |    0.0215   11.6174 |
  440.700    15  6781 |    0.0215   11.6388 |
  441.675    15  6796 |    0.0215   11.6604 |
  442.650    15  6811 |    0.0213   11.6817 |
  443.625    15  6826 |    0.0213   11.7030 |
  444.600    15  6841 |    0.0213   11.7243 |
  445.575    15  6856 |    0.0213   11.7456 |
  446.550    15  6871 |    0.0215   11.7671 |
  447.525    15  6886 |    0.0224   11.7895 |
  448.500    15  6901 |    0.0213   11.8108 |
  449.475    15  6916 |    0.0213   11.8321 |
  450.450    15  6931 |    0.0213   11.8534 |
  451.425    15  6946 |    0.0215   11.8748 |
  452.400    15  6961 |    0.0213   11.8961 |
  453.375    15  6976 |    0.0214   11.9176 |
  454.350    15  6991 |    0.0213   11.9389 |
  455.325    15  7006 |    0.0213   11.9602 |
  456.300    15  7021 |    0.0213   11.9815 |
  457.275    15  7036 |    0.0214   12.0030 |
  458.250    15  7051 |    0.0214   12.0244 |
  459.225    15  7066 |    0.0213   12.0457 |
  460.200    15  7081 |    0.0215   12.0672 |
  461.175    15  7096 |    0.0213   12.0884 |
  462.150    15  7111 |    0.0214   12.1099 |
  463.125    15  7126 |    0.0213   12.1312 |
  464.100    15  7141 |    0.0214   12.1526 |
  465.075    15  7156 |    0.0213   12.1739 |
  466.050    15  7171 |    0.0214   12.1953 |
  467.025    15  7186 |    0.0213   12.2166 |
  468.000    15  7201 |    0.0213   12.2379 |
  468.975    15  7216 |    0.0214   12.2593 |
  469.950    15  7231 |    0.0213   12.2806 |
  470.925    15  7246 |    0.0216   12.3022 |
  471.900    15  7261 |    0.0216   12.3239 |
  472.875    15  7276 |    0.0215   12.3454 |
  473.850    15  7291 |    0.0217   12.3671 |
  474.825    15  7306 |    0.0215   12.3886 |
  475.800    15  7321 |    0.0214   12.4100 |
  476.775    15  7336 |    0.0214   12.4314 |
  477.750    15  7351 |    0.0213   12.4527 |
  478.725    15  7366 |    0.0214   12.4741 |
  479.700    15  7381 |    0.0213   12.4954 |
  480.675    15  7396 |    0.0213   12.5167 |
  481.650    15  7411 |    0.0213   12.5380 |
  482.625    15  7426 |    0.0213   12.5594 |
  483.600    15  7441 |    0.0213   12.5807 |
  484.575    15  7456 |    0.0215   12.6021 |
  485.550    15  7471 |    0.0214   12.6236 |
  486.525    15  7486 |    0.0213   12.6449 |
  487.500    15  7501 |    0.0213   12.6661 |
  488.475    15  7516 |    0.0214   12.6875 |
  489.450    15  7531 |    0.0213   12.7089 |
  490.425    15  7546 |    0.0214   12.7302 |
  491.400    15  7561 |    0.0214   12.7516 |
  492.375    15  7576 |    0.0213   12.7730 |
  493.350    15  7591 |    0.0215   12.7945 |
  494.325    15  7606 |    0.0213   12.8158 |
  495.300    15  7621 |    0.0215   12.8373 |
  496.275    15  7636 |    0.0216   12.8588 |
  497.250    15  7651 |    0.0216   12.8804 |
  498.225    15  7666 |    0.0215   12.9019 |
  499.200    15  7681 |    0.0216   12.9235 |
  500.175    15  7696 |    0.0216   12.9450 |
  501.150    15  7711 |    0.0217   12.9668 |
  502.125    15  7726 |    0.0218   12.9885 |
  503.100    15  7741 |    0.0216   13.0101 |
  504.075    15  7756 |    0.0216   13.0317 |
  505.050    15  7771 |    0.0215   13.0532 |
  506.025    15  7786 |    0.0216   13.0748 |
  507.000    15  7801 |    0.0215   13.0963 |
  507.975    15  7816 |    0.0215   13.1177 |
  508.950    15  7831 |    0.0214   13.1392 |
  509.925    15  7846 |    0.0213   13.1605 |
  510.900    15  7861 |    0.0216   13.1822 |
  511.875    15  7876 |    0.0213   13.2035 |
  512.850    15  7891 |    0.0214   13.2248 |
  513.825    15  7906 |    0.0213   13.2461 |
  514.800    15  7921 |    0.0214   13.2675 |
  515.775    15  7936 |    0.0213   13.2889 |
  516.750    15  7951 |    0.0213   13.3102 |
  517.725    15  7966 |    0.0213   13.3315 |
  518.700    15  7981 |    0.0214   13.3529 |
  519.675    15  7996 |    0.0214   13.3743 |
  520.650    15  8011 |    0.0214   13.3957 |
  521.625    15  8026 |    0.0213   13.4170 |
  522.600    15  8041 |    0.0213   13.4383 |
  523.575    15  8056 |    0.0213   13.4596 |
  524.550    15  8071 |    0.0214   13.4810 |
  525.525    15  8086 |    0.0214   13.5023 |
  526.500    15  8101 |    0.0214   13.5237 |
  527.475    15  8116 |    0.0214   13.5451 |
  528.450    15  8131 |    0.0213   13.5664 |
  529.425    15  8146 |    0.0213   13.5877 |
  530.400    15  8161 |    0.0213   13.6090 |
