          ----- ----- | --------- --------- |
            cls ttcls |      time  tot time |
  413.400    15  6361 |    0.0161    7.3286 |
  414.375    15  6376 |    0.0161    7.3447 |
  415.350    15  6391 |    0.0161    7.3608 |
  416.325    15  6406 |    0.0164    7.3773 |
  417.300    15  6421 |    0.0161    7.3934 |
  418.275    15  6436 |    0.0160    7.4094 |
  419.250    15  6451 |    0.0163    7.4257 |
  420.225    15  6466 |    0.0164    7.4421 |
  421.200    15  6481 |    0.0163    7.4584 |
  422.175    15  6496 |    0.0162    7.4747 |
  423.150    15  6511 |    0.0166    7.4913 |
  424.125    15  6526 |    0.0165    7.5078 |
  425.100    15  6541 |    0.0165    7.5243 |
  426.075    15  6556 |    0.0163    7.5406 |
  427.050    15  6571 |    0.0163    7.5568 |
  428.025    15  6586 |    0.0162    7.5730 |
  429.000    15  6601 |    0.0161    7.5892 |
  429.975    15  6616 |    0.0166    7.6057 |
  430.950    15  6631 |    0.0165    7.6222 |
  431.925    15  6646 |    0.0165    7.6387 |
  432.900    15  6661 |    0.0165    7.6552 |
  433.875    15  6676 |    0.0164    7.6716 |
  434.850    15  6691 |    0.0163    7.6879 |
  435.825    15  6706 |    0.0165    7.7044 |
  436.800    15  6721 |    0.0165    7.7209 |
  437.775    15  6736 |    0.0163    7.7372 |
  438.750    15  6751 |    0.0162    7.7534 |
  439.725    15  6766 |    0.0161    7.7695 |
  440.700    15  6781 |    0.0165    7.7860 |
  441.675    15  6796 |    0.0163    7.8024 |
  442.650    15  6811 |    0.0165    7.8188 |
  443.625    15  6826 |    0.0162    7.8350 |
  444.600    15  6841 |    0.0165    7.8515 |
  445.575    15  6856 |    0.0163    7.8679 |
  446.550    15  6871 |    0.0163    7.8841 |
  447.525    15  6886 |    0.0162    7.9003 |
  448.500    15  6901 |    0.0166    7.9169 |
  449.475    15  6916 |    0.0164    7.9334 |
  450.450    15  6931 |    0.0161    7.9495 |
  451.425    15  6946 |    0.0160    7.9655 |
  452.400    15  6961 |    0.0164    7.9819 |
  453.375    15  6976 |    0.0163    7.9981 |
  454.350    15  6991 |    0.0161    8.0142 |
  455.325    15  7006 |    0.0161    8.0303 |
  456.300    15  7021 |    0.0163    8.0465 |
  457.275    15  7036 |    0.0164    8.0629 |
  458.250    15  7051 |    0.0162    8.0791 |
  459.225    15  7066 |    0.0163    8.0955 |
  460.200    15  7081 |    0.0163    8.1118 |
  461.175    15  7096 |    0.0164    8.1282 |
  462.150    15  7111 |    0.0163    8.1445 |
  463.125    15  7126 |    0.0164    8.1609 |
  464.100    15  7141 |    0.0163    8.1772 |
  465.075    15  7156 |    0.0162    8.1934 |
  466.050    15  7171 |    0.0162    8.2097 |
  467.025    15  7186 |    0.0164    8.2260 |
  468.000    15  7201 |    0.0163    8.2424 |
  468.975    15  7216 |    0.0162    8.2585 |
  469.950    15  7231 |    0.0162    8.2747 |
  470.925    15  7246 |    0.0162    8.2909 |
  471.900    15  7261 |    0.0163    8.3072 |
  472.875    15  7276 |    0.0164    8.3236 |
  473.850    15  7291 |    0.0161    8.3397 |
  474.825    15  7306 |    0.0162    8.3558 |
  475.800    15  7321 |    0.0164    8.3722 |
  476.775    15  7336 |    0.0165    8.3887 |
  477.750    15  7351 |    0.0165    8.4051 |
  478.725    15  7366 |    0.0162    8.4214 |
  479.700    15  7381 |    0.0165    8.4379 |
  480.675    15  7396 |    0.0164    8.4542 |
  481.650    15  7411 |    0.0163    8.4706 |
  482.625    15  7426 |    0.0163    8.4869 |
  483.600    15  7441 |    0.0163    8.5032 |
  484.575    15  7456 |    0.0163    8.5195 |
  485.550    15  7471 |    0.0166    8.5361 |
  486.525    15  7486 |    0.0161    8.5522 |
  487.500    15  7501 |    0.0161    8.5683 |
  488.475    15  7516 |    0.0163    8.5846 |
  489.450    15  7531 |    0.0163    8.6009 |
  490.425    15  7546 |    0.0160    8.6169 |
  491.400    15  7561 |    0.0160    8.6329 |
  492.375    15  7576 |    0.0164    8.6493 |
  493.350    15  7591 |    0.0166    8.6659 |
  494.325    15  7606 |    0.0164    8.6822 |
  495.300    15  7621 |    0.0164    8.6986 |
  496.275    15  7636 |    0.0163    8.7149 |
  497.250    15  7651 |    0.0165    8.7314 |
  498.225    15  7666 |    0.0163    8.7477 |
  499.200    15  7681 |    0.0161    8.7639 |
  500.175    15  7696 |    0.0166    8.7804 |
  501.150    15  7711 |    0.0164    8.7968 |
  502.125    15  7726 |    0.0161    8.8129 |
  503.100    15  7741 |    0.0160    8.8289 |
  504.075    15  7756 |    0.0164    8.8453 |
  505.050    15  7771 |    0.0164    8.8617 |
  506.025    15  7786 |    0.0159    8.8776 |
  507.000    15  7801 |    0.0161    8.8937 |
  507.975    15  7816 |    0.0164    8.9102 |
  508.950    15  7831 |    0.0166    8.9267 |
  509.925    15  7846 |    0.0162    8.9430 |
  510.900    15  7861 |    0.0163    8.9592 |
  511.875    15  7876 |    0.0162    8.9755 |
  512.850    15  7891 |    0.0162    8.9916 |
  513.825    15  7906 |    0.0162    9.0078 |
  514.800    15  7921 |    0.0164    9.0242 |
  515.775    15  7936 |    0.0163    9.0405 |
  516.750    15  7951 |    0.0163    9.0568 |
  517.725    15  7966 |    0.0165    9.0732 |
  518.700    15  7981 |    0.0163    9.0896 |
  519.675    15  7996 |    0.0164    9.1060 |
  520.650    15  8011 |    0.0162    9.1222 |
  521.625    15  8026 |    0.0162    9.1384 |
  522.600    15  8041 |    0.0163    9.1547 |
  523.575    15  8056 |    0.0162    9.1709 |
  524.550    15  8071 |    0.0163    9.1872 |
  525.525    15  8086 |    0.0162    9.2034 |
  526.500    15  8101 |    0.0164    9.2199 |
  527.475    15  8116 |    0.0162    9.2361 |
  528.450    15  8131 |    0.0164    9.2525 |
  529.425    15  8146 |    0.0165    9.2690 |
  530.400    15  8161 |    0.0164    9.2854 |
  531.375    15  8176 |    0.0166    9.3020 |
  532.350    15  8191 |    0.0165    9.3184 |
  533.325    15  8206 |    0.0164    9.3348 |
  534.300    15  8221 |    0.0167    9.3515 |
  535.275    15  8236 |    0.0165    9.3680 |
  536.250    15  8251 |    0.0164    9.3844 |
  537.225    15  8266 |    0.0165    9.4009 |
  538.200    15  8281 |    0.0160    9.4170 |
  539.175    15  8296 |    0.0162    9.4332 |
  540.150    15  8311 |    0.0165    9.4496 |
  541.125    15  8326 |    0.0163    9.4659 |
  542.100    15  8341 |    0.0162    9.4821 |
  543.075    15  8356 |    0.0160    9.4981 |
  544.050    15  8371 |    0.0160    9.5141 |
  545.025    15  8386 |    0.0163    9.5304 |
  546.000    15  8401 |    0.0162    9.5466 |
  546.975    15  8416 |    0.0161    9.5627 |
  547.950    15  8431 |    0.0163    9.5790 |
  548.925    15  8446 |    0.0165    9.5955 |
  549.900    15  8461 |    0.0167    9.6122 |
  550.875    15  8476 |    0.0163    9.6285 |
  551.850    15  8491 |    0.0162    9.6447 |
  552.825    15  8506 |    0.0163    9.6610 |
  553.800    15  8521 |    0.0165    9.6775 |
  554.775    15  8536 |    0.0164    9.6939 |
  555.750    15  8551 |    0.0164    9.7103 |
  556.725    15  8566 |    0.0163    9.7266 |
  557.700    15  8581 |    0.0164    9.7430 |
  558.675    15  8596 |    0.0164    9.7594 |
  559.650    15  8611 |    0.0164    9.7758 |
  560.625    15  8626 |    0.0162    9.7920 |
  561.600    15  8641 |    0.0164    9.8084 |
  562.575    15  8656 |    0.0164    9.8248 |
  563.550    15  8671 |    0.0160    9.8408 |
