          ----- ----- -------  -----  ----- | ---- ----- --------- --------- --------- |
  299.325     3     3     3.0     45  13532 |   15  4606    0.2160    0.0144    0.0048 |
  300.300     3     3     3.0     45  13577 |   15  4621    0.2148    0.0143    0.0048 |
  301.275     3     3     3.0     45  13622 |   15  4636    0.2143    0.0143    0.0048 |
  302.250     3     3     3.0     45  13667 |   15  4651    0.2147    0.0143    0.0048 |
  303.225     3     3     3.0     45  13712 |   15  4666    0.2178    0.0145    0.0048 |
  304.200     3     3     3.0     45  13757 |   15  4681    0.2168    0.0145    0.0048 |
  305.175     3     3     3.0     45  13802 |   15  4696    0.2165    0.0144    0.0048 |
  306.150     3     3     3.0     45  13847 |   15  4711    0.2147    0.0143    0.0048 |
  307.125     3     3     3.0     45  13892 |   15  4726    0.2160    0.0144    0.0048 |
  308.100     3     3     3.0     45  13937 |   15  4741    0.2138    0.0143    0.0048 |
  309.075     3     3     3.0     45  13982 |   15  4756    0.2177    0.0145    0.0048 |
  310.050     3     3     3.0     45  14027 |   15  4771    0.2171    0.0145    0.0048 |
  311.025     3     3     3.0     45  14072 |   15  4786    0.2160    0.0144    0.0048 |
  312.000     3     3     3.0     45  14117 |   15  4801    0.2158    0.0144    0.0048 |
  312.975     3     3     3.0     45  14162 |   15  4816    0.2133    0.0142    0.0047 |
  313.950     3     3     3.0     45  14207 |   15  4831    0.2177    0.0145    0.0048 |
  314.925     3     3     3.0     45  14252 |   15  4846    0.2209    0.0147    0.0049 |
  315.900     3     3     3.0     45  14297 |   15  4861    0.2163    0.0144    0.0048 |
  316.875     3     3     3.0     45  14342 |   15  4876    0.2157    0.0144    0.0048 |
  317.850     3     3     3.0     45  14387 |   15  4891    0.2164    0.0144    0.0048 |
  318.825     3     3     3.0     45  14432 |   15  4906    0.2157    0.0144    0.0048 |
  319.800     3     3     3.0     45  14477 |   15  4921    0.2163    0.0144    0.0048 |
  320.775     3     3     3.0     45  14522 |   15  4936    0.2169    0.0145    0.0048 |
  321.750     3     3     3.0     45  14567 |   15  4951    0.2152    0.0143    0.0048 |
